Sr.No.,Description of Machine,Unit,Cap.,Rate
139, Truck Trailor 30 MT capacity, Km, 30 MT, 3
140, Vibrating Pile driving hammer complite with power unit and accessories, Hour, , 5658
141, Pile boring machinary 325-400 mm dia., R.Mt, , 224
142, Pumping Charges, Cmt, , 252
143, Pumping Set 2 to 9 HP, Hour, 2 to 9 HP, 367
144, Pile Boaring Machine 325 to 400 mm, Day, , 5922
145, Pile Boaring Machine 425 to 500 mm, Day, , 5125
146, Pile Boaring Machine 525 to 600 mm, Day, , 5702
147, Pile Boaring Machine 625 to 700 mm, Day, , 6842
148, Pile Boaring Machine 725 to 1050 mm, Day, , 7424
149, BenMTite Pump, Day, , 91
150, Guiniting Gun, Hour, , 310
151, Chain and pully, Day, , 300
152, Welding machine, Day, , 420
153, Diesel welding Plant 30 Hp, Hour, 30 HP, 579
154, Electric drill machin, Day, , 420
155, Electric gas cutting, Day, , 294
156, Rammer, Hour, , 188
157, Polishing machine with Polishman, Day, , 970
158, Tile Cutting Machine, Hour, , 39
159, Hand polishing with Polishman, Day, , 730
160, Tile Polishing machine Grinder, Day, , 222
161, Bronto Sky Lift Bridge Inspection Unit, Hour, , 4017
162, Hire Charges of Driver Including All Taxes, Day, , 878
